okres,radon_average,vyskyt
Benešov,2.5734595263767424,
Beroun,1.9267941410798555,
Blansko,1.6595423709756005,
Brno-město,1.2577611175388055,
Brno-venkov,1.4188156448258964,
Bruntál,1.8125152235689845,
Břeclav,1.0,
Cheb,1.8397310527594866,
Chomutov,1.3547448316350066,
Chrudim,1.4997997636233993,
Domažlice,1.530103092783505,
Děčín,1.4326285792707047,
Frýdek-Místek,1.0,
Havlíčkův Brod,1.9944063028787602,
Hlavní město Praha,1.8678126888133468,
Hodonín,1.0,
Hradec Králové,1.0,
Jablonec nad Nisou,2.6856650940232094,
Jeseník,2.0559330157029687,
Jihlava,2.4457239228202523,
Jindřichův Hradec,1.9634179884477858,
Jičín,1.1663997559673607,
Karlovy Vary,2.147598237136548,
Karviná,1.0,
Kladno,1.2604409639565632,
Klatovy,2.2648940113102425,
Kolín,1.4554052367281491,
Kroměříž,1.0,
Kutná Hora,1.7230046321635006,
Liberec,2.4879453391898485,
Litoměřice,1.0062968106952055,
Louny,1.1643928249418687,
Mladá Boleslav,1.0106438274334566,
Most,1.1169780820615223,
Mělník,1.2120225320428508,
Nový Jičín,1.1319773717939958,
Nymburk,1.0,
Náchod,1.4846024556305728,
Olomouc,1.2884310684848383,
Opava,1.2292950281256607,
Ostrava-město,1.2531343892282154,
Pardubice,1.0628845694528166,
Pelhřimov,2.0670339761248853,
Plzeň-jih,1.4970020082932398,
Plzeň-město,1.8237685057531714,
Plzeň-sever,1.7152958316064453,
Prachatice,1.9628157013895933,
Praha-východ,1.415162272062063,
Praha-západ,1.3499894371885524,
Prostějov,1.2258316252656123,
Písek,2.203129465561589,
Přerov,1.119815519576856,
Příbram,2.1725070902858734,
Rakovník,1.7177856301531214,
Rokycany,1.7130652133827777,
Rychnov n.Kněžnou,1.0471499851729607,
Semily,1.65500779147188,
Sokolov,1.8882446092847702,
Strakonice,2.0430893248082582,
Svitavy,1.2012507444907683,
Tachov,1.8684381944976627,
Teplice,1.3069065592747786,
Trutnov,1.7235568872829823,
Tábor,2.1592222543843014,
Třebíč,2.3280183708806725,
Uherské Hradiště,1.005565268065268,
Vsetín,1.0,
Vyškov,1.0685317434318287,
Zlín,1.0,
Znojmo,1.5928261971906164,
Ústí nad Labem,1.4076333367943792,
Ústí nad Orlicí,1.1153973087712457,
Česká Lípa,1.0550919356599224,
České Budějovice,1.3276332295565703,
Český Krumlov,2.1010078464364814,
Šumperk,1.82903577343207,
Žďár nad Sázavou,2.0912701183535245,
