kraj,radon_average,vyskyt,particulate_matter
Hlavní město Praha,1.8678126888133468,,
Jihomoravský kraj,1.2832797241033818,,
Jihočeský kraj,1.8440311271957148,,
Karlovarský kraj,1.973944033506681,,
Kraj Vysočina,2.199961726343355,,
Královéhradecký kraj,1.317448635787353,,
Liberecký kraj,2.061462878582365,,
Moravskoslezský kraj,1.1800270942093514,,
Olomoucký kraj,1.3895368726803292,,
Pardubický kraj,1.1722980290231753,,
Plzeňský kraj,1.8037143605300192,,
Středočeský kraj,1.516721840491318,,
Zlínský kraj,1.0013547324314787,,
Ústecký kraj,1.2633271755624464,,
